Table,Column,Match
act_type,,Action
,PHONEBEHAVIOR,-[efs:has_phonebehavior_VALUE]-> (VALUE)
,ACT_TYPE_ID,-[fibo:isIdentifiedBy]-> (fibo:Identifier) -[fibo:hasTag]-> (VALUE)
,DESCRIPTION,-[fibo:hasDescription]-> (VALUE)
,ISADMIN,-[efs:has_isadmin_VALUE]-> (VALUE)
,TYPE_,-[efs:has_type__VALUE]-> (VALUE)
,ALLOWS_BACKDATED,-[efs:has_allows_backdated_VALUE]-> (VALUE)
,ACTION_CONTACT_STATUS,-[efs:has_action_contact_status_VALUE]-> (VALUE)
,ACTION_CONTACT_TYPE,-[efs:has_action_contact_type_VALUE]-> (VALUE)
,SETTLE_PLAN_UUID,-[efs:has_settle_plan_uuid_VALUE]-> (VALUE)
,,
actcategory,,ActionClassifier
,DESCRIPTION,-[fibo:hasDescription]-> (VALUE)
,,
address,,ConventionalStreetAddress
,IS_COMMUNICATION,-[efs:has_is_communication_VALUE]-> (VALUE)
,DT_UPDATED,-[fibo:hasExplicitDate]-> (fibo:ExplicitDate) -[fibo:hasDateValue]-> (VALUE)
,ADDRESS,-[fibo:hasAddressLine1]-> (VALUE)
,SECONDARY_ID,-[fibo:isIdentifiedBy]-> (fibo:Identifier) -[fibo:hasTag]-> (VALUE)
,COUNTRY_CODE,-[fibo:hasCountry]-> (fibo:Country) -[efs:has_country_code_VALUE]-> (VALUE)
,,
bucket,,Collection
,DATE_CREATED,-[fibo:hasDateAdded]-> (fibo:ExplicitDate) -[fibo:hasDateValue]-> (VALUE)
,DESCRIPTION,-[fibo:hasDescription]-> (VALUE)
,PAYMENTDAYS,-[fibo:hasPaymentSchedule]-> (fibo:PaymentSchedule) -[fibo:hasOverallPeriod]-> (fibo:DatePeriod) -[efs:has_paymentdays_VALUE]-> (VALUE)
,,
case_extra,,BankingService
,OVERDUE_CAPITAL,-[fibo:hasOutstandingAmount]-> (fibo:MonetaryAmount) -[fibo:hasAmount]-> (VALUE)
